ZIP_CODE,NEIGHBOORHOOD,AMOUNT
15201,Lawrenceville,98
15202,"Bellvue, Avalon, Ben Avalon, Emsworth",139
15203,South Side Slopes,86
15204,"Chartiers, Sherdan",84
15205,"Crafton, Fairywood",155
15206,Larimer,174
15207,"Glen Hazel, Hazelwood, Lincon Place",99
15208,"North Point Breeze, Homewood",80
15209,"Millvale, Bauserstown",90
15210,"St. Clair, Mount Oliver",391
15211,"Mount Washington, Duquesne Heights",124
15212,Perry South,312
"15213, 15260",North Oakland,59
15214,Perry North,98
15215,O'hara township,77
15216,"Beechview, Banksville",200
15217,"Squirrel Hill, Squirrel Hill South",51
15218,"Swissvale, Edgewood",70
15219,Central Buisness District,177
15220,"Elliot, Ridegmont",79
15221,"Wilkinsburg, Forest Hills",190
15222,Strip District,59
15223,Etna,75
15224,"Bloomfield, Garfield",79
15225,Neville island,19
15226,Brookline,121
15227,Brentwood,184
15228,Mount Lebannon,44
15229,"West View, Highcliff, Laurel Gardens",58
15232,Shadyside,22
15233,Manchester,22
15234,"Castle Shannon, Baldwin Township",71
15235,Penn Hills,196
15236,Pleasent Hills,113
15237,"McCandless, Ross Township",92
15238,Fox Chapel,35
15239,Plum,59
15241,Upper St. Clair,46
15243,Cedarhurst Manor,16
