,Points
Allegheny Center,2
Allegheny West,0
Allentown,0
Arlington,0
Arlington Heights,0
Banksville,0
Bedford Dwellings,0
Beechview,1
Beltzhoover,0
Bloomfield,0
Bluff/Uptown/Soho,0
Bon Air,0
Brighton Heights,0
Brookline,3
California-Kirkbride,0
Carrick,1
Central Business District/Downtown/Golden Triangle,0
Central Lawrenceville,0
Central Northside,1
Central Oakland,1
Chartiers,0
Chateau,0
Crafton Heights,2
Crawford-Roberts,0
Duquesne Heights,0
East Allegheny/Deutschtown,0
East Carnegie,0
East Hills,0
East Liberty,0
Elliott,0
Esplen,0
Fairywood,1
Fineview,2
Friendship,0
Garfield,0
Glen Hazel,0
Greenfield,0
Hays,1
Hazelwood,0
Highland Park,0
Homewood North,0
Homewood South,0
Homewood West,0
Knoxville,0
Larimer,0
Lincoln Place,0
Lincoln–Lemington–Belmar,8
Lower Lawrenceville,1
Manchester,0
Marshall-Shadeland/Brightwood/Woods Run,2
Middle Hill,0
Morningside,0
Mount Oliver,0
Mount Washington,2
New Homestead,0
North Oakland,0
North Point Breeze,0
North Shore,0
Northview Heights,0
Oakwood,0
Overbrook,0
Perry North/Observatory Hill,1
Perry South/Perry Hilltop,1
Point Breeze,0
Polish Hill,0
Regent Square,0
Ridgemont,0
Saint Clair,0
Shadyside,0
Sheraden,0
South Oakland,0
South Side Flats,0
South Side Slopes,0
Southshore,0
Spring Garden,0
Spring Hill–City View,2
Squirrel Hill North,7
Squirrel Hill South,4
Stanton Heights,2
Strip District,0
Summer Hill,0
Swisshelm Park,0
Terrace Village,0
Troy Hill,1
Upper Hill,0
Upper Lawrenceville,0
West End,0
West Oakland,0
Westwood,1
Windgap,0
