index,HOOD,ratio,score_out_of_10,ZIP_CODE,SCORE,AMOUNT,final_score
9,Bedford Dwellings,6.644907924,10.0,,,,10.0
23,Cedarhurst Manor,,,15243,9.99999999999,16.0,9.99999999999
81,Neville island,,,15225,9.74358974358,19.0,9.74358974358
49,Fox Chapel,,,15238,8.974358974349999,35.0,8.974358974349999
76,Mount Lebannon,,,15228,8.717948717939999,44.0,8.717948717939999
124,Upper St. Clair,,,15241,8.461538461529999,46.0,8.461538461529999
111,Squirrel Hill,,,15217,8.20512820512,51.0,8.20512820512
64,Laurel Gardens,,,15229,7.94871794871,58.0,7.94871794871
127,West View,,,15229,7.94871794871,58.0,7.94871794871
56,Highcliff,,,15229,7.94871794871,58.0,7.94871794871
94,Plum,,,15239,7.692307692299999,59.0,7.692307692299999
40,Edgewood,,,15218,6.923076923069999,70.0,6.923076923069999
119,Swissvale,,,15218,6.923076923069999,70.0,6.923076923069999
6,Baldwin Township,,,15234,6.666666666659999,71.0,6.666666666659999
22,Castle Shannon,,,15234,6.666666666659999,71.0,6.666666666659999
45,Etna,,,15223,6.41025641025,75.0,6.41025641025
87,O'hara township,,,15215,6.15384615384,77.0,6.15384615384
102,Shadyside,1.754443152245742,2.587336826325239,15232,9.23076923076,22.0,5.909053028542619
99,Ridegmont,,,15220,5.64102564102,79.0,5.64102564102
41,Elliot,,,15220,5.64102564102,79.0,5.64102564102
70,Manchester,1.0884027215306122,1.577794052097357,15233,9.48717948717,22.0,5.532486769633678
83,North Oakland,2.300833487146552,3.41552140652378,"15213, 15260",7.435897435889999,59.0,5.425709421206889
58,Homewood,,,15208,5.38461538461,80.0,5.38461538461
84,North Point Breeze,,,15208,5.38461538461,80.0,5.38461538461
113,Squirrel Hill South,1.4276919320143198,2.09206759319386,15217,8.20512820512,51.0,5.14859789915693
29,Chartiers,,,15204,5.128205128199999,84.0,5.128205128199999
104,Sherdan,,,15204,5.128205128199999,84.0,5.128205128199999
0,Allegheny Center,3.227465274,4.820052395405862,,,,4.820052395405862
74,Millvale,,,15209,4.61538461538,90.0,4.61538461538
8,Bauserstown,,,15209,4.61538461538,90.0,4.61538461538
72,McCandless,,,15237,4.358974358969999,92.0,4.358974358969999
