_id,id,street_id,activity,task_description,status,street,start_year,stop_date_actual,route_ahead,route_back
1,1924601586,17060,Mechanical Patching,Paved as part of 2016 City paving program.,Completed,BALDWICK RD,2016,2016-10-31,NOBLESTOWN RD,STEEN ST
2,1512981617,9881,Mechanical Patching,Paved as part of 2016 City paving program.,Completed,GLENBURY ST,2016,2016-10-31,KOHEN ST,SELDON ST
3,640675845,6563,Mechanical Patching,Paved as part of City 2016 paving program.,Completed,S BELLEFIELD AVE,2016,2016-10-01,FILMORE ST,FIFTH AVE
4,538119097,17748,Mechanical Patching,Paved as part of City 2016 paving program.,Completed,S BELLEFIELD AVE,2016,2016-10-01,FORBES AVE,FILMORE ST
5,726876041,17060,Base Repair,,Completed,BALDWICK RD,2009,2009-06-05,NOBLESTOWN RD,STEEN ST
6,1280601859,2137,Base Repair,,Completed,N BRADDOCK AVE,2014,2014-04-15,SUSQUEHANNA ST,ANNAN WAY
7,1567782563,373,Base Repair,,Completed,LIME ST,2009,2009-04-14,DEAD END,SAW MILL RUN BLVD
8,176640290,14702,Base Repair,,Completed,JILLSON AVE,2013,2013-10-02,PARQUET ST,BROOKLINE BLVD
9,2010963472,5678,Base Repair,,Completed,WESTMONT AVE,2009,2009-07-20,W AGNEW RD,COPPERFIELD AVE
10,2074462995,11938,Base Repair,,Completed,BRABEC ST,2014,2014-07-25,BASIN ST,PROVINCE ST
11,905276843,2706,Base Repair,,Completed,SANTRON AVE,2012,2012-07-25,AZUR WAY,WESTMONT AVE
12,1025083285,11054,Base Repair,,Completed,DARLINGTON RD,2010,2010-09-03,E CIRCUIT RD,DARLINGTON CT
13,2042518736,7346,Base Repair,,Completed,COLTART AVE,2010,2010-08-20,UNNAMED28L WAY,LOUISA ST
14,552260254,19767,Base Repair,,Completed,MONITOR ST,2014,2014-05-30,MONITOR ST,BEECHWOOD BLVD
15,1415255480,11495,Base Repair,,Completed,KING AVE,2012,2012-10-09,BEVERLY PL,HAMPTON ST
16,1364867302,14157,Base Repair,,Completed,CATO ST,2010,2010-08-10,GORMAN WAY,ROMEO ST
